StudentID,EntryYear,Year,Semester,Module,AttemptType,Grade,GradePoints,Credits,IncludedInGPA,Forgiven
20210001,2021,1,1,Eng1,Original,B,3.0,3,True,False
20210001,2021,1,1,Maths1,Original,B,3.0,3,True,False
20210001,2021,1,1,IT,Original,D,1.0,3,True,False
20210001,2021,1,1,IT,Resit,B,3.0,3,False,False
20210001,2021,1,1,Dbase,Original,D,1.0,3,True,False
20210001,2021,1,1,Dbase,Resit,B+,3.5,3,False,False
20210001,2021,1,2,Eng2,Original,B+,3.5,3,True,False
20210001,2021,1,2,Maths2,Original,B+,3.5,3,True,False
20210001,2021,1,2,SoftEng,Original,B+,3.5,3,True,False
20210001,2021,1,2,Network,Original,A,4.0,3,True,False
20220002,2022,1,1,Eng1,Original,B+,3.5,3,True,False
20220002,2022,1,1,Maths1,Original,B+,3.5,3,True,False
20220002,2022,1,1,IT,Original,A,4.0,3,True,False
20220002,2022,1,1,Dbase,Original,D,1.0,3,True,False
20220002,2022,1,1,Dbase,Resit,B+,3.5,3,False,False
20220002,2022,1,2,Eng2,Original,C,2.0,3,True,False
20220002,2022,1,2,Maths2,Original,B,3.0,3,True,False
20220002,2022,1,2,SoftEng,Original,B,3.0,3,True,False
20220002,2022,1,2,Network,Original,B,3.0,3,True,False
20220003,2022,1,1,Eng1,Original,A,4.0,3,True,False
20220003,2022,1,1,Maths1,Original,A,4.0,3,True,False
20220003,2022,1,1,IT,Original,B,3.0,3,True,False
20220003,2022,1,1,Dbase,Original,B+,3.5,3,True,False
20220003,2022,1,2,Eng2,Original,C+,2.5,3,True,False
20220003,2022,1,2,Maths2,Original,C+,2.5,3,True,False
20220003,2022,1,2,SoftEng,Original,B+,3.5,3,True,False
20220003,2022,1,2,Network,Original,C+,2.5,3,True,False
20220003,2022,2,1,AI1,Original,C+,2.5,3,True,False
20220003,2022,2,1,Cloud1,Original,B,3.0,3,True,False
20220003,2022,2,1,Security1,Original,B+,3.5,3,True,False
20220003,2022,2,1,Entrep1,Original,B,3.0,3,True,False
20220003,2022,2,2,AI2,Original,F,0.0,3,True,False
20220003,2022,2,2,AI2,Resit,C+,2.5,3,False,False
20220003,2022,2,2,Cloud2,Original,F,0.0,3,True,False
20220003,2022,2,2,Cloud2,Resit,C,2.0,3,False,False
20220003,2022,2,2,Security2,Original,C+,2.5,3,True,False
20220003,2022,2,2,Entrep2,Original,C,2.0,3,True,False
